,Relation,Result_Argument,Arguments,Table,Caption,Segment,Document
0,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['1', 'One'], 'Coating no.'], 'Component_qty_value': [['66', 'Milliliter'], 'Ethanol (ml)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
1,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['1', 'One'], 'Coating no.'], 'Component_qty_value': [['3', 'Gram'], 'MC (g)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
2,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['1', 'One'], 'Coating no.'], 'Component_qty_value': [['1', 'Milliliter'], 'PEG (ml)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
3,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['2', 'One'], 'Coating no.'], 'Component_qty_value': [['66', 'Milliliter'], 'Ethanol (ml)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
4,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['2', 'One'], 'Coating no.'], 'Component_qty_value': [['3', 'Gram'], 'MC (g)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
5,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['2', 'One'], 'Coating no.'], 'Component_qty_value': [['1', 'Milliliter'], 'PEG (ml)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
6,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['2', 'One'], 'Coating no.'], 'Component_qty_value': [['0.6', 'Gram'], 'SA (g)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
7,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['3', 'One'], 'Coating no.'], 'Component_qty_value': [['66', 'Milliliter'], 'Ethanol (ml)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
8,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['3', 'One'], 'Coating no.'], 'Component_qty_value': [['3', 'Gram'], 'MC (g)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
9,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['3', 'One'], 'Coating no.'], 'Component_qty_value': [['1', 'Milliliter'], 'PEG (ml)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
10,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['3', 'One'], 'Coating no.'], 'Component_qty_value': [['0.6', 'Gram'], 'SA (g)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
11,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['3', 'One'], 'Coating no.'], 'Component_qty_value': [['0.5', 'Gram'], 'Antioxidant AA(g)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
12,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['4', 'One'], 'Coating no.'], 'Component_qty_value': [['66', 'Milliliter'], 'Ethanol (ml)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
13,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['4', 'One'], 'Coating no.'], 'Component_qty_value': [['3', 'Gram'], 'MC (g)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
14,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['4', 'One'], 'Coating no.'], 'Component_qty_value': [['1', 'Milliliter'], 'PEG (ml)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
