,Argument,Attached_value,Document,Segment,Original_value,Node,Type
1273,packaging,"[['packaging'], 12, 13]",Application of bioplastics for food packaging.xml,['highlight'],"[['packaging'], 12, 13]","['packaging', 0, 'PrefLabel']",SYMBOLIC
1274,packaging,"[['biobased', 'polymers'], 2, 4]",Application of bioplastics for food packaging.xml,['highlight'],"[['biobased', 'polymers'], 2, 4]","['biobased_polymers', 2, 'PrefLabel']",SYMBOLIC
1275,impact_factor_component,"[['component'], 7, 8]",Application of bioplastics for food packaging.xml,['highlight'],"[['component'], 7, 8]","['component', 1, 'PrefLabel']",SYMBOLIC
1276,impact_factor_component,"[['biobased', 'polymers'], 2, 4]",Application of bioplastics for food packaging.xml,['highlight'],"[['biobased', 'polymers'], 2, 4]","['biobased_polymers', 2, 'PrefLabel']",SYMBOLIC
1277,packaging,"[['biobased', 'packaging'], 7, 9]",Application of bioplastics for food packaging.xml,['highlight'],"[['biobased', 'packaging'], 7, 9]","['biobased_packaging', 3, 'PrefLabel']",SYMBOLIC
1278,packaging,"[['multilayered', 'biobased', 'plastics'], 6, 9]",Application of bioplastics for food packaging.xml,['highlight'],"[['multilayered', 'biobased', 'plastics'], 6, 9]","['multilayered_biobased_plastics', 2, 'PrefLabel']",SYMBOLIC
1279,impact_factor_component,"[['plastics'], 8, 9]",Application of bioplastics for food packaging.xml,['highlight'],"[['plastics'], 8, 9]","['plasticiser', 2, 'FastrAlt']",SYMBOLIC
1280,packaging,"[['biobased', 'packaging'], 4, 6]",Application of bioplastics for food packaging.xml,['highlight'],"[['biobased', 'packaging'], 4, 6]","['biobased_packaging', 3, 'PrefLabel']",SYMBOLIC
1281,packaging,"[['packaging'], 18, 19]",Application of bioplastics for food packaging.xml,['abstract'],"[['packaging'], 18, 19]","['packaging', 0, 'PrefLabel']",SYMBOLIC
1282,impact_factor_component,"[['bioplastics'], 12, 13]",Application of bioplastics for food packaging.xml,['abstract'],"[['bioplastics'], 12, 13]","['bioplastics', 2, 'PrefLabel']",SYMBOLIC
1283,packaging,"[['packaging', 'material'], 35, 37]",Application of bioplastics for food packaging.xml,['abstract'],"[['packaging', 'material'], 35, 37]","['packaging', 0, 'AcroFastrPref-1']",SYMBOLIC
1284,packaging,"[['biobased', 'films'], 11, 13]",Application of bioplastics for food packaging.xml,['abstract'],"[['biobased', 'films'], 11, 13]","['biobased_packaging', 3, 'AltLabel']",SYMBOLIC
1285,impact_factor_component,"[['bioplastics'], 29, 30]",Application of bioplastics for food packaging.xml,['abstract'],"[['bioplastics'], 29, 30]","['bioplastics', 2, 'PrefLabel']",SYMBOLIC
1286,impact_factor_component,"[['bioplastics'], 4, 5]",Application of bioplastics for food packaging.xml,['abstract'],"[['bioplastics'], 4, 5]","['bioplastics', 2, 'PrefLabel']",SYMBOLIC
1287,packaging,"[['packaging', 'material'], 3, 5]",Application of bioplastics for food packaging.xml,['abstract'],"[['packaging', 'material'], 3, 5]","['packaging', 0, 'AcroFastrPref-1']",SYMBOLIC
1288,packaging,"[['biobased', 'polymer', 'films'], 36, 39]",Application of bioplastics for food packaging.xml,['abstract'],"[['biobased', 'polymer', 'films'], 36, 39]","['biobased_polymers', 2, 'AltLabel']",SYMBOLIC
1289,impact_factor_component,"[['biobased', 'polymer', 'films'], 36, 39]",Application of bioplastics for food packaging.xml,['abstract'],"[['biobased', 'polymer', 'films'], 36, 39]","['biobased_polymers', 2, 'AltLabel']",SYMBOLIC
1290,packaging,"[['packaging'], 1, 2]",Application of bioplastics for food packaging.xml,['Introduction'],"[['packaging'], 1, 2]","['packaging', 0, 'PrefLabel']",SYMBOLIC
1291,packaging,"[['packaging', 'which', 'is', 'biodegradable'], 11, 15]",Application of bioplastics for food packaging.xml,['Introduction'],"[['packaging', 'which', 'is', 'biodegradable'], 11, 15]","['biodegradable_bio_45_based_equilibrium_modified_atmosphere_packaging', 4, 'FastrPref']",SYMBOLIC
1292,packaging,"[['biodegradable', 'polymers'], 0, 2]",Application of bioplastics for food packaging.xml,['Introduction'],"[['biodegradable', 'polymers'], 0, 2]","['biodegradable_polymers', 3, 'PrefLabel']",SYMBOLIC
1293,impact_factor_component,"[['polymers'], 1, 2]",Application of bioplastics for food packaging.xml,['Introduction'],"[['polymers'], 1, 2]","['polymer', 2, 'FastrPref']",SYMBOLIC
