,Document,Info,Text
0,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,['abstract']," Polyethersulfone (PES)-based mixed matrix membranes (MMMs) with the incorporation of inorganic fillers of different shapes (lamellar Na-montmorillonite (MMT) clays and spherical TiO2 nanoparticles) were prepared in this study, and the resulting MMMs were characterized by TGA, DSC, XRD, SEM, and TEM. It was found that inorganic filler agglomeration became more serious at higher-filler-content MMMs. In the case of PES / MMT MMMs, both the CO2 and CH4 permeabilities increased significantly with the increasing filler content and consequently the gas selectivity was greatly reduced. At high MMT loadings (⩾10 wt.% ), Knudsen diffusion became the predominant gas transport mechanism. A different trend was achieved in the case of PES / TiO2 MMMs. The CO2 / CH4 selectivity increased from 24.5 (pure PES membrane) to a maximum value of 38.5 at 4 wt.% TiO2 MMM and then decreased with a further increase in TiO2 content (e.g. 17.3 for 20 wt.% ). The formation of interface voids and membrane defects in MMMs contributed to the high gas permeabilities and low gas selectivity. "
1,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['abstract', 'keywords']",Mixed matrix membrane. 
2,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['abstract', 'keywords']",Polyethersulfone membrane. 
3,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['abstract', 'keywords']",Sodium montmorillonite. 
4,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['abstract', 'keywords']",Titanium dioxide. 
5,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['abstract', 'keywords']",Gas permeation. 
6,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,['Introduction']," Polymeric membranes have been widely applied to gas separation owing to their low price, good thermostability, economical processability, and high energy efficiency [1], [2], [3], [4], [5]. However, they usually suffer a trade-off limitation between gas permeability and selectivity, revealed as the Robeson upper-bound relationship [1], [3], [4], [6], [7]. An alternative approach to resolve this problem is mixed matrix membrane (MMM) which may improve both permeability and selectivity of gases [7]. MMMs for gas separation usually contain inorganic fillers in an organic polymer matrix. By the inorganic / organic combination, they could offer better physical, thermal, and mechanical properties [1], [3]. The inorganic fillers incorporated and presented in the literature include zeolites, silicas / silicalites, clays, carbon molecular sieves, activated carbons, carbon nanotubes, metal oxides nanoparticles, etc. [1], [3], [4], [8], [9], [10], [11]. In this study, polyethersulfone (PES), a glassy polymer, was chosen as the base polymer for preparing flat-sheet gas separation MMMs because it is commercially available and has been adopted in the literature [4], [12], [13], [14]. There are several factors influencing the flat MMM performance, including inorganic filler type, filler particle size, particle agglomeration, polymer / filler interface morphology, etc. [1], [15]. Moreover, four kinds of nanoscale interface morphology have been observed and categorized as: ideal morphology, interface voids, rigidified polymer layer, and filler pore blockage [1], [15]. Case 1 (ideal morphology) represents a perfect attachment of polymer on the surface of inorganic filler. Case 2 (interface voids) indicates the interface voids caused by the detachment of polymer chains from the filler surface. Case 3 (rigidified polymer layer) specifies the rigidification of polymer chains in direct contact with the filler surface. Case 4 (filler pore blockage) points out the blockage of filler pores by the polymer chains. Cases 2-4 are different types of interface defects. Morphology type, usually dominated by the interaction between inorganic filler and polymer, could strongly affect the gas transport properties of MMMs. Sometimes, the filler-polymer interaction could be improved via chemical (e.g. addition of coupling agent or chemical modification on external filler surface) and physical (addition of additive) methods [14]. Two inexpensive inorganic fillers with different shapes, sodium montmorillonite (MMT) and titanium dioxide (TiO2), were employed in this work for the preparation of PES-based MMMs. MMT, a member of the smectite family, is composed of layers with two silica tetrahedral sheets sandwiching a central alumina octahedral sheet [16]. It has a basal spacing of 12-14 Å [17], [18], [19], [20]. TiO2 is nonporous spherical nanoparticles. These two inorganic fillers possess high hydrophilicity as well as good chemical and thermal stabilities [21], [22], but different structures. Although some former studies [16], [21], [22], [23], [24], [25], [26] have investigated the MMMs with these two fillers, they did not use PES as the base polymer material and adopt these two fillers at the same time for evaluating the possible influences contributing from the filler shape. The present study, therefore, focuses on preparing the PES / MMT and PES / TiO2 MMMs for CO2 and CH4 permeations. A comparison in CO2 / CH4 selectivity between MMT and TiO2 fillers was investigated. "
7,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Experimental', 'Materials']"," Polyethersulfone (PES, RADEL A-300A) was purchased from Solvay Advanced Polymers (Alpharetta, GA, USA). MMT clay (PK-802, cation-exchange capacity = 115 meq / 100 g, mean length = 500 nm, basal spacing ≈ 14 Å, specific surface area = 150 m^2 / g) was supplied by Paikong (Taoyuan, Taiwan), and TiO2 (PT-401 M, rutile content = 61.2% , particle size = 70 nm, specific surface area = 19.7 m^2 / g) was obtained from Ishihara Sangyo Kaisha (Osaka, Japan). Dimethyl formamide (DMF) was bought from Sigma-Aldrich (Milwaukee, WI, USA). "
8,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Experimental', 'Membrane preparation']"," 12 g of DMF was adopted as the solvent. The total amount of PES and inorganic fillers (MMT or TiO2) was 4 g. The weight percentage of inorganic filler investigated in this study included 2, 4, 10, and 20 wt.% . Right after inorganic fillers were well dispersed in DMF, PES was added and mixed at 60 °C to make the casting solution. The casting solution was then spread over a glass plate using a 200 μm blade to form a film. The film with the glass plate was placed in a 60 °C oven for 50 min. Next, the film with the glass plate was immersed in 4 °C water bath in order to detach the film from the glass. Finally, the prepared membrane was dried at room temperature. "
9,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Experimental', 'Membrane characterization', 'Membrane thickness']"," The membrane thickness was measured by a thickness gauge (543-251-70, Mattoon, Tokyo, Japan). "
10,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Experimental', 'Membrane characterization', 'Thermogravimetric analysis (TGA)']"," A VersaTherm HS system from Thermo Fisher Scientific (Newington, NH, USA) was used for the TGA studies. In the first stage, the sample temperature was raised to 110 °C and kept at this temperature for 10 min to dry the sample. Then, the sample was heated from 110 to 800 °C at a rate of 10 °C / min in nitrogen atmosphere (30 mL / min), and the weight loss was recorded in this process. "
11,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Experimental', 'Membrane characterization', 'Differential scanning calorimeter (DSC)']"," The glass transition temperature (Tg) of the membrane was determined on an instrument DSC6220 (Seiko, Tokyo, Japan). The sample was first heated from 30 °C up to 300 °C at a rate of 10 °C / min, and then maintained isothermally for 5 min before being quenched in liquid nitrogen to remove any thermal history. The sample was reheated up to 300 °C at a rate of 10 °C / min under a nitrogen flow. Tg was determined in the second heating cycle. "
12,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Experimental', 'Membrane characterization', 'X-ray diffraction (XRD)']"," The XRD pattern of the membrane was obtained using D8 Discover SSS high-resolution X-ray diffractometer (Bruker AXS, Karlsruhe, Germany). The scanning range was from 2.5 to 85 °C with a scanning rate of 4 °C / min. "
13,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Experimental', 'Membrane characterization', 'Field-emission scanning electron microscopy (FE-SEM)']"," The membrane morphology was observed by FE-SEM (JSM-6700F, Jeol, Tokyo, Japan). "
14,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Experimental', 'Membrane characterization', 'Transmission electron microscopy (TEM)']"," The inorganic filler dispersion inside the MMM was observed via a JEM-1400 microscope (JEOL, Tokyo, Japan) at 120 kV. The membrane sample (width of 2 mm) was stuck on an epoxy resin and then ultramicrotomed with a diamond knife into 100-nm-thick slices at room temperature. Moreover, the pristine inorganic filler sample was obtained by dropping a dilute suspension of inorganic fillers on the carbon-coated copper grids and drying at room temperature. "
15,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Experimental', 'Gas sorption experiment']"," Gas sorption experiment was performed gravimetrically at 25 °C and selected pressures (0.5-7.5 bar) using a robust homemade apparatus equipped with a calibrated quartz (McBain’s) spiral balance and an automatic CCD camera system (SONY, Tokyo, Japan) [27]. An aluminum basket with powder sample (ca. 0.1 g) was attached to the spiral balance in a glass tube which was evacuated before the measurement to a pressure lower than 1 × 10^-3 mbar by rotary oil pump (Oerlikon Leybold, Cologne, Germany). After exposure of sample to the measured gas at a known pressure, the elongation of the quartz spiral was monitored by the automatic optical system until reaching the equilibrium state. Before each gas experiment the buoyancy test of spiral and basket without powder sample under the same pressure was performed. The average error of mass determination of each experiment reached approximately 30 μg [28]. "
