id;Section;Argument;Score
0;"[""abstract""]";co2_permeability;8
12;"[""Introduction""]";co2_permeability;6
24;"[""Materials and methods"",""Material and methods"",""Materials""]";co2_permeability;0
36;"[""Results and discussion"",""Results and discussions"",""Result and discussion"",""Results"",""Discussion""]";co2_permeability;9
48;"[""Experimental material and method"",""Experimental"", ""Experimental and characterization method"", ""Experimental section"", ""Experimental details"", ""Experimental part""]";co2_permeability;0
60;"[""Conclusions"",""Conclusion""]";co2_permeability;7
72;"[""highlight""]";co2_permeability;0
84;"[""Main limitations""]";co2_permeability;0
96;"[""Improving the properties of bioplastics""]";co2_permeability;0
108;"[""Current applications""]";co2_permeability;0
120;"[""Main characteristics of different bioplastics""]";co2_permeability;0
132;"[""Possible application""]";co2_permeability;0
144;"[""Background""]";co2_permeability;0
156;"[""Preparation of modified clays""]";co2_permeability;0
10;"[""abstract""]";component_qty_value;6
22;"[""Introduction""]";component_qty_value;4
34;"[""Materials and methods"",""Material and methods"",""Materials""]";component_qty_value;9
46;"[""Results and discussion"",""Results and discussions"",""Result and discussion"",""Results"",""Discussion""]";component_qty_value;7
58;"[""Experimental material and method"",""Experimental"", ""Experimental and characterization method"", ""Experimental section"", ""Experimental details"", ""Experimental part""]";component_qty_value;8
70;"[""Conclusions"",""Conclusion""]";component_qty_value;5
82;"[""highlight""]";component_qty_value;0
94;"[""Main limitations""]";component_qty_value;0
106;"[""Improving the properties of bioplastics""]";component_qty_value;0
118;"[""Current applications""]";component_qty_value;0
130;"[""Main characteristics of different bioplastics""]";component_qty_value;0
142;"[""Possible application""]";component_qty_value;0
154;"[""Background""]";component_qty_value;0
166;"[""Preparation of modified clays""]";component_qty_value;0
1;"[""abstract""]";h2o_permeability;8
13;"[""Introduction""]";h2o_permeability;6
25;"[""Materials and methods"",""Material and methods"",""Materials""]";h2o_permeability;0
37;"[""Results and discussion"",""Results and discussions"",""Result and discussion"",""Results"",""Discussion""]";h2o_permeability;9
49;"[""Experimental material and method"",""Experimental"", ""Experimental and characterization method"", ""Experimental section"", ""Experimental details"", ""Experimental part""]";h2o_permeability;0
61;"[""Conclusions"",""Conclusion""]";h2o_permeability;7
73;"[""highlight""]";h2o_permeability;0
85;"[""Main limitations""]";h2o_permeability;0
97;"[""Improving the properties of bioplastics""]";h2o_permeability;0
109;"[""Current applications""]";h2o_permeability;0
121;"[""Main characteristics of different bioplastics""]";h2o_permeability;0
133;"[""Possible application""]";h2o_permeability;0
145;"[""Background""]";h2o_permeability;0
157;"[""Preparation of modified clays""]";h2o_permeability;0
11;"[""abstract""]";impact_factor_component;3
23;"[""Introduction""]";impact_factor_component;5
