,Argument,Attached_value,Document,Segment,Original_value,Node,Type
648,component_qty_value,"[['corn', 'zein'], 17, 19]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[[['1993'], 11, 12]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
649,component_qty_value,"[['soy', 'protein'], 26, 28]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[[['1993'], 11, 12]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
690,component_qty_value,"[['solvent'], 7, 8]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[[['(3', 'g)'], 1, 3]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
691,component_qty_value,"[['ethanol'], 12, 13]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[[['(3', 'g)'], 1, 3]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
692,component_qty_value,"[['solvent'], 7, 8]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[[['66'], 10, 11]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
693,component_qty_value,"[['ethanol'], 12, 13]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[[['66'], 10, 11]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
694,component_qty_value,"[['ethanol'], 12, 13]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[[['33'], 14, 15]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
695,component_qty_value,"[['solvent'], 7, 8]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[[['33'], 14, 15]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
697,component_qty_value,"[['peg'], 6, 7]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[[['1'], 4, 5], [['peg'], 6, 7]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
698,component_qty_value,"[['peg'], 6, 7]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[[['24', '000'], 16, 18]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
699,component_qty_value,"[['peg'], 6, 7]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[[['5'], 21, 22]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
731,component_qty_value,"[['peg'], 24, 25]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Comparison of the OP results obtained by the present method with those reported in literature']","[[['’', '(', '1990'], 5, 8]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
800,component_qty_value,"[['vitamin', 'c'], 3, 5]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Vitamin C determination']","[[['1984'], 21, 23]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
811,component_qty_value,"[['distilled', 'water'], 30, 32]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Total phenol determination']","[[['5.0'], 11, 12]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
812,component_qty_value,"[['distilled', 'water'], 30, 32]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Total phenol determination']","[[['0.2'], 13, 14]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
813,component_qty_value,"[['distilled', 'water'], 30, 32]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Total phenol determination']","[[['4.0'], 20, 21]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
814,component_qty_value,"[['distilled', 'water'], 30, 32]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Total phenol determination']","[[['0.9'], 27, 28]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
907,component_qty_value,"[['vitamin', 'c'], 4, 6]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['3'], 13, 14]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
911,component_qty_value,"[['vitamin', 'c'], 1, 3]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['49.8'], 8, 9]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
912,component_qty_value,"[['vitamin', 'c'], 1, 3]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['1'], 16, 17]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
913,component_qty_value,"[['vitamin', 'c'], 1, 3]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['2'], 18, 19]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
914,component_qty_value,"[['vitamin', 'c'], 1, 3]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['4'], 20, 21]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
915,component_qty_value,"[['vitamin', 'c'], 1, 3]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['43.9'], 22, 23]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
923,component_qty_value,"[['vitamin', 'c'], 32, 34]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['1'], 27, 28]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
924,component_qty_value,"[['vitamin', 'c'], 32, 34]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['4'], 40, 41]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
925,component_qty_value,"[['peg'], 24, 25]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['1'], 27, 28]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
926,component_qty_value,"[['peg'], 24, 25]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['4'], 40, 41]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
932,component_qty_value,"[['vitamin', 'c'], 19, 21]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['3'], 9, 10]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
933,component_qty_value,"[['vitamin', 'c'], 19, 21]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[[['4'], 11, 13]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
937,component_qty_value,"[['vitamin', 'c'], 0, 2]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods', 'figure']","[[['1', '(', '□'], 13, 16]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
938,component_qty_value,"[['vitamin', 'c'], 0, 2]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods', 'figure']","[[['2', '(', '▵'], 19, 22]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
939,component_qty_value,"[['vitamin', 'c'], 0, 2]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods', 'figure']","[[['3', '(', '×'], 25, 28]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
944,component_qty_value,"[['vitamin', 'c'], 0, 2]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods', 'figure']","[[['1', '(', '□'], 13, 16]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
