,Attachment,Document,Argument,Span,Category
0,,Blown films of nanocomposites prepared from low density polyethylene and a sodium ionomer of poly(ethylene-co-methacrylic acid),impact_factor_component,"['two-tailed', 'quaternary', 'ammonium', 'surfactant', ',', 'dimethyl', 'bis', '(', 'hydrogenated-tallow', ')', 'ammonium', 'chloride']",SYMBOLIC
1,"['oxygen', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['207.3', '×', '10', '^', '−', '6', '±', '10.2', '×', '10', '^', '−', '6'], ['cc', 'm', '/', 'm', '^', '2', 'day', 'atm'])",QUANTITY
2,"['oxygen', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['114.4', '×', '10', '^', '−', '6', '±', '16.2', '×', '10', '^', '−', '6'], ['cc', 'm', '/', 'm', '^', '2', 'day', 'atm'])",QUANTITY
3,"['oxygen', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['248.0', '×', '10', '^', '−', '6', '±', '4.6', '×', '10', '^', '−', '6'], ['cc', 'm', '/', 'm', '^', '2', 'day', 'atm'])",QUANTITY
4,"['Oxygen', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['114.4', '×', '10', '^', '−', '6', '±', '16.2', '×', '10', '^', '−', '6'], ['g', 'm', '/', 'm', '^', '2', 'day', 'atm'])",QUANTITY
5,"['oxygen', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['402.8', '×', '10', '^', '−', '6', '±', '0.7', '×', '10', '^', '−', '6'], ['cc', 'm', '/', 'm', '^', '2', 'day', 'atm'])",QUANTITY
6,"['oxygen', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['171.3', '×', '10', '^', '−', '6', '±', '2.5', '×', '10', '^', '−', '6'], ['cc', 'm', '/', 'm', '^', '2', 'day', 'atm'])",QUANTITY
7,"['oxygen', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['196.4', '×', '10', '^', '−', '6', '±', '8.5', '×', '10', '^', '−', '6'], ['cc', 'm', '/', 'm', '^', '2', 'day', 'atm'])",QUANTITY
8,"['Oxygen', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['402.8', '×', '10', '^', '−', '6', '±', '0.7', '×', '10', '^', '−', '6'], ['g', 'm', '/', 'm', '^', '2', 'day', 'atm'])",QUANTITY
9,['oxygen'],Gas permeation properties of poly(lactic acid),permeability,"(['3.3', '(', '10', '^', '−', '10'], ['cm', '^', '3', '(', 'STP', ')', 'cm', '/', 'cm', '^', '2', 's', 'cm', 'Hg', ')'])",QUANTITY
