,Relation,Argument,Type
0,co2_permeability_relation,thickness,QUANTITY
1,co2_permeability_relation,number_of_repetitions,QUANTITY
2,co2_permeability_relation,packaging,SYMBOLIC
3,co2_permeability_relation,partial_pressure,QUANTITY
4,co2_permeability_relation,temperature,QUANTITY
5,co2_permeability_relation,co2_permeability,QUANTITY
6,co2_permeability_relation,relative_humidity,QUANTITY
7,co2_permeability_relation,method,SYMBOLIC
8,co2_permeability_relation,partial_pressure_difference,QUANTITY
9,h2o_permeability_relation,temperature,QUANTITY
10,h2o_permeability_relation,h2o_permeability,QUANTITY
11,h2o_permeability_relation,relative_humidity,QUANTITY
12,h2o_permeability_relation,thickness,QUANTITY
13,h2o_permeability_relation,packaging,SYMBOLIC
14,h2o_permeability_relation,partial_pressure,QUANTITY
15,h2o_permeability_relation,number_of_repetitions,QUANTITY
16,h2o_permeability_relation,method,SYMBOLIC
17,o2_permeability_relation,o2_permeability,QUANTITY
18,o2_permeability_relation,method,SYMBOLIC
19,o2_permeability_relation,number_of_repetitions,QUANTITY
20,o2_permeability_relation,temperature,QUANTITY
21,o2_permeability_relation,relative_humidity,QUANTITY
22,o2_permeability_relation,partial_pressure_difference,QUANTITY
23,o2_permeability_relation,packaging,SYMBOLIC
24,o2_permeability_relation,thickness,QUANTITY
25,o2_permeability_relation,partial_pressure,QUANTITY
26,impact_factor_component_relation,impact_factor_component,SYMBOLIC
27,impact_factor_component_relation,packnumber,QUANTITY
28,impact_factor_component_relation,packaging,SYMBOLIC
29,impact_factor_component_relation,component_qty_value,QUANTITY
